date,Temp,SpCond,Sal,DO_pct,DO_mgl,Depth,cDepth,pH,Turb,ChlFluor,P,P_lag1,P_lag2,P_3d,P_7d,P_extreme,chl_sat
2017-05-29,26.071875,49.3390625,32.23125,,,1.4561458333333333,,,,,5.649063,4.4319153,0.014899153,10.095877452999993,104.40071870586002,0,0.6172010898590088
2017-05-30,26.579166666666666,48.74281250000001,31.788541666666664,95.8,6.272093023255814,1.5167708333333332,,7.769767441860465,8.767441860465116,8.248837209302325,3.0162272,5.649063,4.4319153,13.097205499999992,65.47187590586002,0,
2017-05-31,26.004166666666663,48.94322916666667,31.95104166666667,78.06354166666667,5.285416666666666,1.5154166666666666,,7.714583333333334,9.145833333333334,8.731250000000001,4.406631,3.0162272,5.649063,13.071921199999993,37.736862905860015,0,
2017-06-01,25.98645833333333,47.876354166666665,31.179166666666664,76.21979166666667,5.179166666666666,1.511875,,7.688541666666667,7.708333333333333,8.397916666666667,3.395559,4.406631,3.0162272,10.818417199999994,20.914566905860013,0,0.3166928589344024
2017-06-02,26.14375,48.217395833333335,31.422916666666666,78.34270833333333,5.305208333333334,1.559583333333333,,7.69375,6.580645161290323,8.511458333333334,2.9257143,3.395559,4.406631,10.727904299999993,23.840008953000016,0,1.851187825202942
2017-06-03,26.575,48.498125,31.620833333333334,77.91354166666666,5.234375,1.6282291666666666,,7.688541666666667,6.252747252747253,7.649999999999999,0.0,2.9257143,3.395559,6.3212732999999925,23.825109800000018,0,1.2279560565948486
2017-06-04,27.159375,48.44083333333333,31.558333333333334,78.68854166666667,5.238541666666666,1.6695833333333334,,7.679166666666667,6.894736842105263,8.116666666666667,0.5867311,0.0,2.9257143,3.5124453999999927,19.979925600000012,0,1.8173984289169312
2017-06-05,27.136458333333334,46.319375,30.01354166666667,78.77083333333333,5.292708333333334,1.5492708333333332,,7.652083333333334,7.354166666666667,9.766666666666667,7.8165584,0.5867311,0.0,8.403289499999993,22.147421000000016,0,0.5112151503562927
2017-06-06,26.433333333333334,45.392500000000005,29.378125,67.24166666666666,4.594791666666667,1.4246875,,7.589583333333334,7.589473684210526,9.636458333333334,8.760724,7.8165584,0.5867311,17.164013499999992,27.891917800000016,0,
2017-06-07,24.5625,47.884687500000005,31.222916666666663,69.89791666666666,4.8812500000000005,1.6233333333333333,,7.641666666666667,7.2105263157894735,9.661458333333334,6.6571975,8.760724,7.8165584,23.23447989999999,30.142484300000014,0,
2017-06-08,21.823958333333334,50.0034375,32.800000000000004,83.02604166666667,6.020833333333333,1.6498958333333331,,7.716666666666666,6.916666666666667,7.330208333333334,14.5952015,6.6571975,8.760724,30.013122999999993,41.34212680000002,0,
2017-06-09,23.010416666666668,50.25864583333333,32.965625,86.99479166666667,6.1625000000000005,1.5829166666666667,,7.714583333333334,6.65625,6.064583333333334,0.018924404,14.5952015,6.6571975,21.271323403999993,38.43533690400002,0,2.0142035484313965
2017-06-10,24.785416666666663,48.775625,31.84895833333333,85.52604166666667,5.908333333333334,1.4766666666666666,,7.689583333333334,7.526315789473684,8.095833333333333,0.0,0.018924404,14.5952015,14.614125903999994,38.43533690400002,0,1.6502751111984253
2017-06-11,26.4625,47.779375,31.082291666666663,81.08645833333334,5.461458333333333,1.4432291666666668,,7.658333333333334,7.770833333333333,9.466666666666669,0.0,0.0,0.018924404,0.018924403999992893,37.848605804000016,0,1.102532982826233
2017-06-12,27.09583333333333,47.45208333333333,30.83020833333333,78.51979166666666,5.242708333333334,1.429375,,7.654166666666666,7.958333333333333,20.084375,0.22375557,0.0,0.0,0.22375556999999288,30.255802974000016,0,0.666864275932312
2017-06-13,27.197916666666668,47.22677083333334,30.67083333333333,79.278125,5.280208333333333,1.4051041666666666,,7.672916666666667,8.0,18.76875,0.21343231,0.22375557,0.0,0.43718787999999287,21.708511284000014,0,0.5819979906082153
2017-06-14,28.04375,45.78604166666667,29.596875,78.57604166666667,5.1875,1.3559374999999998,,7.671875,8.895833333333334,8.729166666666666,1.5004104,0.21343231,0.22375557,1.937598279999993,16.551724184000015,0,
2017-06-15,27.176041666666663,45.60854166666667,29.50625,66.99791666666667,4.507291666666666,1.384375,,7.628125,7.895833333333333,9.080208333333331,4.4544578,1.5004104,0.21343231,6.168300509999993,6.410980484000015,0,1.2064497470855713
2017-06-16,27.44375,46.71729166666666,30.292708333333334,74.96354166666667,4.986458333333333,1.4439583333333337,,7.659375,9.51063829787234,8.917708333333334,4.275132,4.4544578,1.5004104,10.230000199999992,10.667188080000015,0,2.760762453079224
2017-06-17,27.9875,45.75302083333333,29.59166666666667,81.49270833333334,5.403125,1.4796875,,7.686458333333333,9.135416666666666,10.445833333333333,11.71944,4.275132,4.4544578,20.449029799999995,22.386628080000015,0,2.282864570617676
