time,precip
2014-12-29,3.3761332
2014-12-30,1.841696
2014-12-31,0.057191532
2015-01-01,0.0
2015-01-02,1.5988125
2015-01-03,11.020519
2015-01-04,3.0592768
2015-01-05,5.137649
2015-01-06,0.28910792
2015-01-07,6.645607
2015-01-08,0.0
2015-01-09,0.0
2015-01-10,0.0
2015-01-11,0.026769519
2015-01-12,22.31808
2015-01-13,23.30035
2015-01-14,4.147325
2015-01-15,0.74201447
2015-01-16,2.3783362
2015-01-17,0.0
2015-01-18,7.5336514
2015-01-19,0.017186137
2015-01-20,0.0052844943
2015-01-21,0.5937328
2015-01-22,0.0
2015-01-23,2.2550206
2015-01-24,15.143253
2015-01-25,0.0
2015-01-26,8.876449
2015-01-27,0.55766547
2015-01-28,0.0
2015-01-29,0.5240854
2015-01-30,1.1906437
2015-01-31,0.0
2015-02-01,0.057612702
2015-02-02,6.334813
2015-02-03,0.0
2015-02-04,0.021975143
2015-02-05,22.942348
2015-02-06,0.40696162
2015-02-07,0.32249963
2015-02-08,0.056388997
2015-02-09,0.33528563
2015-02-10,11.150043
2015-02-11,0.4684738
2015-02-12,0.0
2015-02-13,0.31685218
2015-02-14,0.0009638891
2015-02-15,0.009959191
2015-02-16,0.0
2015-02-17,11.853477
2015-02-18,9.647665
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,1.8520108
2015-02-22,2.0729322
2015-02-23,11.417344
2015-02-24,1.4666642
2015-02-25,5.5265565
2015-02-26,36.332516
2015-02-27,3.7116704
2015-02-28,1.3877784
2015-03-01,0.114771605
2015-03-02,2.8566704
2015-03-03,0.66950035
2015-03-04,0.2098752
2015-03-05,0.48108557
2015-03-06,8.238631
2015-03-07,0.19657435
2015-03-08,0.0
2015-03-09,3.3310828
2015-03-10,1.247787
2015-03-11,1.4314978
2015-03-12,0.5312256
2015-03-13,0.9924634
2015-03-14,14.267523
2015-03-15,1.7833258
2015-03-16,1.7332822
2015-03-17,2.5547316
2015-03-18,0.10128786
2015-03-19,1.8297782
2015-03-20,0.9618616
2015-03-21,0.8921744
2015-03-22,5.4627757
2015-03-23,10.464448
2015-03-24,0.0
2015-03-25,0.02014138
2015-03-26,8.354502
2015-03-27,22.865612
2015-03-28,7.7925587
2015-03-29,0.0
2015-03-30,1.7837751
2015-03-31,0.0006172459
2015-04-01,0.029392922
2015-04-02,0.0
2015-04-03,0.06452043
2015-04-04,10.927652
2015-04-05,0.0
2015-04-06,0.0038003891
2015-04-07,1.84976
2015-04-08,2.749807
2015-04-09,8.283052
2015-04-10,10.417969
2015-04-11,4.7887397
2015-04-12,2.74556
2015-04-13,2.3999104
2015-04-14,2.965213
2015-04-15,8.222441
2015-04-16,12.014182
2015-04-17,0.08688168
2015-04-18,2.5476134
2015-04-19,0.35598093
2015-04-20,14.650311
2015-04-21,11.124704
2015-04-22,0.0
2015-04-23,0.008549801
2015-04-24,0.0
2015-04-25,2.33331
2015-04-26,1.5545844
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,3.4870372
2015-04-30,0.25428134
2015-05-01,0.67741066
2015-05-02,1.613932
2015-05-03,0.042370442
2015-05-04,0.0095354635
2015-05-05,0.78303725
2015-05-06,10.179669
2015-05-07,12.48497
2015-05-08,0.330408
2015-05-09,1.4311585
2015-05-10,10.961162
2015-05-11,16.945896
2015-05-12,2.1571662
2015-05-13,2.358647
2015-05-14,0.0
2015-05-15,1.22731
2015-05-16,0.2290471
2015-05-17,0.96275216
2015-05-18,0.92818177
2015-05-19,2.3961337
2015-05-20,4.8453145
2015-05-21,5.270146
2015-05-22,2.9231038
2015-05-23,0.17267476
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0029740618
2015-05-27,0.5244882
2015-05-28,1.7436945
2015-05-29,0.6805981
2015-05-30,0.030693132
2015-05-31,0.003150112
2015-06-01,0.04026694
2015-06-02,4.142085
2015-06-03,8.663906
2015-06-04,4.8121066
2015-06-05,0.56515926
2015-06-06,0.01148704
2015-06-07,0.4306585
2015-06-08,0.0
2015-06-09,4.6850944
2015-06-10,16.972618
2015-06-11,0.00748123
2015-06-12,0.15286335
2015-06-13,1.4833692
2015-06-14,1.3731499
2015-06-15,0.044058446
2015-06-16,2.9873405
2015-06-17,1.5566663
2015-06-18,7.174905
2015-06-19,10.178434
2015-06-20,14.052761
2015-06-21,3.4297872
2015-06-22,0.2327786
2015-06-23,0.0031505008
2015-06-24,6.676145
2015-06-25,13.359719
2015-06-26,24.29389
2015-06-27,20.862738
2015-06-28,18.553719
2015-06-29,7.580589
2015-06-30,0.7403144
2015-07-01,4.626624
2015-07-02,0.74953294
2015-07-03,9.191812
2015-07-04,7.0330806
2015-07-05,1.8466794
2015-07-06,10.778682
2015-07-07,1.3073814
2015-07-08,0.94138175
2015-07-09,5.320345
2015-07-10,0.10865566
2015-07-11,7.017931
2015-07-12,7.6825
2015-07-13,11.683955
2015-07-14,9.583507
2015-07-15,2.9056926
2015-07-16,1.0279287
